ts_code,area
000005.SZ,深圳
000018.SZ,四川
000023.SZ,深圳
000033.SZ,深圳
000038.SZ,深圳
000046.SZ,北京
000150.SZ,广东
000413.SZ,河北
000416.SZ,山东
000418.SZ,江苏
000502.SZ,广东
000511.SZ,辽宁
000540.SZ,贵州
000585.SZ,海南
000587.SZ,黑龙江
000606.SZ,青海
000611.SZ,内蒙
000613.SZ,海南
000616.SZ,辽宁
000662.SZ,广西
000666.SZ,北京
000667.SZ,湖北
000671.SZ,福建
000673.SZ,山西
000687.SZ,深圳
000693.SZ,四川
000732.SZ,福建
000748.SZ,湖南
000760.SZ,湖北
000780.SZ,内蒙
000806.SZ,广西
000835.SZ,四川
000836.SZ,天津
000861.SZ,广东
000916.SZ,北京
000918.SZ,浙江
000939.SZ,湖北
000961.SZ,江苏
000971.SZ,湖北
000976.SZ,广东
000979.SZ,安徽
000982.SZ,宁夏
000996.SZ,北京
002002.SZ,江苏
002013.SZ,北京
002018.SZ,安徽
002070.SZ,福建
002071.SZ,安徽
002087.SZ,河南
002089.SZ,江苏
002113.SZ,湖南
002118.SZ,吉林
002143.SZ,四川
002147.SZ,安徽
002220.SZ,辽宁
002260.SZ,广东
002280.SZ,浙江
002288.SZ,广东
002308.SZ,广东
002325.SZ,深圳
002341.SZ,深圳
002359.SZ,深圳
002411.SZ,陕西
002417.SZ,深圳
002433.SZ,广东
002435.SZ,江苏
002447.SZ,辽宁
002450.SZ,江苏
002464.SZ,山东
002473.SZ,浙江
002477.SZ,河南
002499.SZ,江苏
002502.SZ,广东
002503.SZ,广东
002504.SZ,北京
002505.SZ,湖南
002509.SZ,广东
002604.SZ,山东
002610.SZ,浙江
002618.SZ,深圳
002619.SZ,浙江
002621.SZ,辽宁
002665.SZ,甘肃
002680.SZ,江苏
002684.SZ,河南
002699.SZ,浙江
002711.SZ,广东
002740.SZ,福建
002751.SZ,深圳
002770.SZ,河南
002776.SZ,广东
002781.SZ,江西
300023.SZ,陕西
300028.SZ,四川
300038.SZ,北京
300064.SZ,河南
300089.SZ,广东
300090.SZ,安徽
300104.SZ,北京
300116.SZ,陕西
300156.SZ,北京
300178.SZ,深圳
300202.SZ,辽宁
300216.SZ,湖南
300262.SZ,上海
300273.SZ,广东
300282.SZ,北京
300297.SZ,四川
300309.SZ,西藏
300312.SZ,北京
300325.SZ,江苏
300330.SZ,上海
300336.SZ,上海
300356.SZ,江苏
300362.SZ,四川
300367.SZ,北京
300372.SZ,辽宁
300392.SZ,北京
300431.SZ,北京
300495.SZ,深圳
300526.SZ,广东
300742.SZ,江苏
300799.SZ,北京
600005.SH,湖北
600068.SH,湖北
600069.SH,河南
600074.SH,江苏
600077.SH,浙江
600086.SH,湖北
600090.SH,新疆
600091.SH,内蒙
600093.SH,云南
600112.SH,贵州
600122.SH,江苏
600139.SH,内蒙
600145.SH,新疆
600146.SH,上海
600175.SH,浙江
600209.SH,海南
600213.SH,江苏
600220.SH,江苏
600240.SH,北京
600242.SH,广东
600247.SH,吉林
600260.SH,湖北
600270.SH,北京
600275.SH,湖北
600277.SH,内蒙
600290.SH,浙江
600291.SH,内蒙
600297.SH,辽宁
600306.SH,辽宁
600311.SH,甘肃
600317.SH,辽宁
600321.SH,四川
600385.SH,山东
600393.SH,广东
600401.SH,江苏
600432.SH,吉林
600466.SH,四川
600485.SH,北京
600532.SH,上海
600555.SH,海南
600565.SH,重庆
600614.SH,河南
600634.SH,上海
600647.SH,上海
600652.SH,上海
600656.SH,广西
600677.SH,浙江
600680.SH,上海
600687.SH,甘肃
600695.SH,上海
600701.SH,黑龙江
600723.SH,北京
600747.SH,湖南
600766.SH,山东
600767.SH,四川
600781.SH,河南
600806.SH,云南
600823.SH,上海
600836.SH,上海
600856.SH,北京
600870.SH,福建
600890.SH,北京
600891.SH,黑龙江
600896.SH,海南
600978.SH,广东
601258.SH,吉林
601558.SH,北京
603133.SH,江苏
603157.SH,新疆
603555.SH,福建
603603.SH,北京
603996.SH,浙江
688086.SH,广东
688555.SH,天津
832317.BJ,北京
833874.BJ,湖北
833994.BJ,安徽
920002.BJ,江苏
920008.BJ,四川
920016.BJ,安徽
920019.BJ,安徽
920060.BJ,江苏
920066.BJ,安徽
920082.BJ,浙江
920088.BJ,新疆
920098.BJ,陕西
920099.BJ,江苏
920106.BJ,江苏
920111.BJ,浙江
920118.BJ,浙江
920128.BJ,广东
