"Markettype","Trdwnt","Ndaytrd","Wnshrtrdtl","Wnvaltrdtl","Wretmdeq","Wretmdos","Wretmdtl","Wnstkcal","Wmvosd","Wmvttl"
"2","2009-12","5","349947679","225003589.00","0.069319","0.075826","0.074497","53","7235955.760","10165037.670"
"1","2009-12","5","64402916534","559376868519.00","0.086523","0.076681","0.072442","839","4437986772.290","12033951392.080"
"8","2009-12","5","384311608","1464974604.23","0.053953","0.058212","0.058391","54","56555102.150","63962427.130"
"4","2009-12","5","33341380766","293846613698.78","0.079997","0.088708","0.087275","711","1783006674.040","3210983535.500"
"2","2009-13","5","427778993","303406926.00","0.047615","0.053282","0.051083","53","7621501.840","10684305.000"
"1","2009-13","5","80843720820","734695475935.00","0.046393","0.051086","0.041391","840","4675100701.130","12540140811.510"
"8","2009-13","5","490097883","2053363692.03","0.040290","0.045615","0.043822","54","59135466.870","66766017.060"
"4","2009-13","5","38238388507","353832282426.02","0.037049","0.035030","0.034932","711","1857532417.140","3324031231.530"
"2","2009-14","5","443139555","299037163.00","0.019122","0.060110","0.089784","52","7709471.960","10872358.840"
"1","2009-14","5","81663999797","756426656952.00","0.019606","0.025335","0.019388","836","4813451334.870","12779492155.880"
"8","2009-14","5","491610404","2026612881.18","0.004992","0.012259","0.009932","54","59860462.190","67429187.520"
"4","2009-14","5","39254294221","371383362684.85","0.036412","0.027743","0.029360","711","1924200471.190","3420402894.500"
"2","2009-15","4","299215443","217093546.00","0.015555","0.016121","0.012514","51","7749096.290","10924061.700"
"1","2009-15","4","53875239892","513081328192.00","0.028888","0.012347","0.010218","833","4878536428.590","12909595490.610"
"8","2009-15","4","380905608","1596096998.93","0.022238","0.010124","0.016001","54","60466508.430","68508148.350"
"4","2009-15","4","27535962226","267660126386.99","0.037609","0.022155","0.026004","714","2004849303.510","3512733897.280"
"2","2009-16","5","509028351","354724891.00","0.027322","0.013836","0.012773","52","7892814.070","11100060.440"
"1","2009-16","5","88027714648","854604322420.00","0.052923","0.028249","0.025135","833","5038871864.350","13247540544.940"
"8","2009-16","5","643399212","2458597781.69","0.050075","0.041220","0.046595","54","62958989.270","71700288.420"
"4","2009-16","5","45983579275","453992322184.91","0.038424","0.030087","0.030805","708","2060266710.860","3610079738.790"
"2","2009-17","5","439557527","285199625.00","-0.015078","-0.015748","-0.014429","52","7768516.360","10939886.210"
"1","2009-17","5","74203091655","693229023206.00","-0.019683","-0.028661","-0.022559","832","4931054540.870","12866113509.210"
"8","2009-17","5","556118163","2097149359.39","-0.017090","-0.025885","-0.022051","54","61329239.420","70119206.230"
"4","2009-17","5","38480358690","365221896174.20","-0.026334","-0.027690","-0.029443","709","2007745239.220","3506010277.500"
"2","2009-18","4","279240837","183165225.00","0.001782","0.005816","0.003569","52","7813703.720","10978933.590"
"1","2009-18","4","46271596302","442289297298.00","0.010159","0.018861","0.012101","834","5088219233.570","13104488470.200"
"8","2009-18","4","338079265","1299832981.81","-0.013023","0.000779","-0.007453","54","61377032.840","69596568.320"
"4","2009-18","4","23368877990","217665261102.52","0.009582","0.013073","0.010477","708","2007961666.180","3498741007.430"
"2","2009-19","5","407993344","269575596.00","0.046267","0.038380","0.038307","52","8113595.720","11399505.820"
"1","2009-19","5","81215336055","782108912558.00","0.064685","0.060133","0.060739","832","5404602414.770","13903027061.810"
"8","2009-19","5","508735643","2114878769.53","0.055642","0.059586","0.056960","54","65034249.010","73560809.380"
"4","2009-19","5","40915778927","405537961418.95","0.063436","0.063292","0.061767","706","2171467027.440","3757166899.430"
"2","2009-20","5","400188347","267361133.00","0.029749","0.019286","0.014576","51","8158475.730","11454582.980"
"1","2009-20","5","67874106763","656948714573.00","0.005161","0.002133","0.007651","830","5440460670.680","13997424068.870"
"8","2009-20","5","421104125","1743443752.00","0.013850","0.035426","0.031616","54","67338216.990","75886538.850"
"4","2009-20","5","35399106217","345689665523.28","0.010126","0.007731","0.006106","710","2200054314.850","3784564110.220"
"2","2009-21","5","465841243","325372309.00","0.020565","0.017442","0.022933","51","8267615.030","11652436.550"
"1","2009-21","5","63817672091","639495702023.00","-0.004382","-0.017272","-0.018070","833","5519074832.150","13877551051.160"
"8","2009-21","5","460823840","1828790098.73","0.020262","0.011767","0.013183","54","68112029.770","76868342.220"
"4","2009-21","5","33765619851","338865255462.82","-0.007022","-0.013022","-0.010854","710","2184205174.560","3740771497.650"
"2","2009-22","3","269245009","164875977.00","0.017517","0.008695","0.003141","51","8321903.940","11671442.010"
"1","2009-22","3","32699072538","333068858710.00","0.005179","0.007082","0.014058","832","5637946806.740","14069717009.120"
"8","2009-22","3","265349100","1076769691.31","0.028690","0.037815","0.037536","54","70664704.810","79730748.400"
"4","2009-22","3","18339201618","189498396640.06","0.008720","0.007209","0.005391","707","2193073045.210","3711636343.490"
"2","2009-23","5","471379457","360080645.00","0.030437","0.045123","0.046888","52","8740358.310","12261829.450"
"1","2009-23","5","77281050893","809128302837.00","0.034189","0.055912","0.050929","834","5972964161.970","14732909535.840"
"8","2009-23","5","893204692","3807960916.72","0.108498","0.100292","0.099593","54","77570237.640","87489850.100"
"4","2009-23","5","36266075108","383828899591.16","0.062799","0.037818","0.041938","716","2294012506.660","3913708925.770"
"2","2009-24","5","498001103","328736330.00","0.014438","0.003502","-0.001495","53","8809127.430","12281236.760"
"1","2009-24","5","66792972036","670878388856.00","-0.006796","-0.008601","-0.002525","831","5767214745.550","14443167407.390"
"8","2009-24","5","869598128","3249261108.52","-0.016555","-0.025062","-0.026088","54","75328797.440","84910049.680"
"4","2009-24","5","33500211919","338444768192.10","-0.003882","-0.012658","-0.014074","715","2238437295.170","3830351211.900"
"2","2009-25","5","372113460","256544202.00","0.039367","0.032734","0.028421","53","8986839.300","12516794.920"
"1","2009-25","5","60853700697","631702589056.00","0.038144","0.052348","0.051132","832","6249314142.050","15386680679.230"
"8","2009-25","5","430746948","1839323450.08","0.043162","0.037527","0.037263","54","78040472.210","87864243.820"
"4","2009-25","5","30329713574","326289721411.90","0.035213","0.049380","0.044986","713","2428268645.860","4062516964.570"
"2","2009-26","5","317928864","236302317.00","0.007551","0.007942","0.005763","53","9035781.020","12566502.350"
"1","2009-26","5","65800618073","682121269324.00","0.008586","0.012702","0.019217","829","6351543767.040","15639198646.590"
"8","2009-26","5","540228130","2353463202.75","0.025832","0.036589","0.037871","54","80754437.370","91050290.430"
"4","2009-26","5","31364519535","335242298564.35","0.012463","0.011835","0.015369","714","2467282058.110","4134065146.410"
"2","2009-27","5","505941377","358739964.00","0.058835","0.069614","0.071376","53","9598540.720","13397185.780"
"1","2009-27","5","70897668499","790480673243.00","0.035703","0.055169","0.055371","829","6707066179.900","16507989741.680"
"8","2009-27","5","588554718","2535792769.22","0.065860","0.054815","0.057777","54","85124287.550","96254207.990"
"4","2009-27","5","35199197106","381794861899.38","0.024175","0.047540","0.045491","710","2581304490.730","4187963128.010"
"2","2009-28","5","427963204","347323103.00","0.007239","0.011914","0.016077","52","9555610.580","13454777.460"
"1","2009-28","5","84167275875","922813639457.00","0.042335","0.026331","0.008660","827","7656310421.570","16618228173.820"
"8","2009-28","5","705805581","3281669247.62","0.024360","-0.002539","-0.002521","54","84868706.350","95951564.770"
"4","2009-28","5","41016584860","459404757120.50","0.048055","0.043445","0.044251","713","2706018427.000","4398163238.060"
"2","2009-29","5","467762142","346339331.00","0.051315","0.039722","0.034635","53","10034622.560","14019603.310"
"1","2009-29","5","86545325277","971398911870.00","0.040568","0.028998","0.024660","829","7908456898.180","17079779749.940"
"8","2009-29","5","661881886","3116521507.39","0.055496","0.046499","0.049682","53","85848388.980","97743295.470"
"4","2009-29","5","43345712323","511307098868.30","0.040509","0.039675","0.041570","711","2790073167.520","4544111032.680"
"2","2009-30","5","529126166","450375608.00","0.005433","0.026579","0.033032","53","10301333.330","14482709.150"
"1","2009-30","5","91549490358","1088236065260.00","0.017410","0.034614","0.057843","827","8181517321.210","18056175347.480"
